ID;trialno;condition;rt;self_poss_loss;other_poss_gain;diff_diff;resp_code
1;1;control;1913;320;220;540;1
1;2;control;1661;380;20;400;1
1;3;control;1487;240;300;540;0
1;4;control;1402;380;20;400;0
1;5;control;2200;100;380;480;0
1;6;control;2223;220;320;540;1
1;7;multi-motive;1327;340;180;520;1
1;8;multi-motive;1344;300;240;540;1
1;9;multi-motive;1106;380;60;440;1
1;10;control;2155;380;40;420;0
1;11;control;1387;100;380;480;1
1;13;multi-motive;1423;380;100;480;1
1;14;multi-motive;2264;380;40;420;1
1;16;control;1215;220;320;540;1
1;18;control;1597;380;60;440;1
1;19;control;1264;180;340;520;0
1;20;control;1678;380;100;480;1
1;21;control;1021;300;240;540;1
1;22;control;2079;380;100;480;1
1;23;control;967;20;380;400;1
1;24;control;2007;60;380;440;0
1;25;control;1060;180;340;520;1
1;26;control;1244;360;160;520;1
1;27;control;1264;320;220;540;0
1;29;control;1158;120;360;480;0
1;30;control;1207;360;160;520;0
1;31;multi-motive;910;100;380;480;1
1;32;multi-motive;1098;380;60;440;1
1;33;multi-motive;1243;180;340;520;1
1;34;control;1402;340;180;520;1
1;36;control;1543;160;360;520;0
1;37;multi-motive;1021;220;320;540;1
1;38;multi-motive;1142;380;40;420;1
1;39;multi-motive;1003;20;380;400;1
1;41;multi-motive;1386;60;380;440;1
1;43;control;1433;240;300;540;1
1;44;control;1311;120;360;480;1
1;45;control;1017;40;380;420;0
1;46;multi-motive;1155;240;300;540;1
1;47;multi-motive;884;360;120;480;1
1;48;multi-motive;805;280;280;560;1
1;49;multi-motive;707;380;20;400;1
1;50;multi-motive;1236;180;340;520;1
1;51;multi-motive;969;320;220;540;1
1;53;multi-motive;1816;40;380;420;1
1;54;multi-motive;2106;300;240;540;1
1;55;multi-motive;953;40;380;420;1
1;56;multi-motive;1446;380;20;400;1
1;57;multi-motive;1072;280;280;560;1
1;58;multi-motive;1270;20;380;400;1
1;59;multi-motive;1082;60;380;440;1
1;60;multi-motive;869;320;220;540;1
1;61;multi-motive;904;240;300;540;1
1;62;multi-motive;1020;340;180;520;1
1;63;multi-motive;960;220;320;540;1
1;64;multi-motive;791;160;360;520;1
1;65;multi-motive;1269;360;120;480;1
1;66;multi-motive;832;120;360;480;1
1;67;multi-motive;2110;360;160;520;1
1;68;multi-motive;1079;360;160;520;1
1;69;multi-motive;856;380;100;480;1
1;70;control;1855;280;280;560;1
1;71;control;1020;360;120;480;0
1;72;control;1149;60;380;440;1
1;73;control;989;280;280;560;0
1;74;control;1090;300;240;540;0
1;75;control;1417;160;360;520;1
1;76;multi-motive;1450;120;360;480;1
1;77;multi-motive;842;100;380;480;1
1;78;multi-motive;1764;160;360;520;1
1;79;control;1105;40;380;420;1
1;80;control;1098;20;380;400;0
1;81;control;1256;360;120;480;0
1;82;control;835;380;40;420;1
1;83;control;883;380;60;440;0
1;84;control;834;340;180;520;1
2;1;reciprocity;1149;240;300;540;0
2;2;reciprocity;1422;160;360;520;1
2;3;reciprocity;1387;100;380;480;1
2;4;empathy;1875;100;380;480;0
2;5;empathy;2665;380;60;440;1
2;6;empathy;1413;160;360;520;1
2;7;empathy;2510;120;360;480;0
2;8;empathy;1386;380;20;400;1
2;9;empathy;1747;280;280;560;1
2;10;reciprocity;1877;380;40;420;1
2;11;reciprocity;2618;340;180;520;1
