"","ID","trialno","condition","rt","self_poss_loss","other_poss_loss","diff_diff","resp_code"
"85","0",1,"control",1913,320,220,540,1
"86","0",2,"control",1661,380,20,400,1
"87","0",3,"control",1487,240,300,540,0
"88","0",4,"control",1402,380,20,400,0
"89","0",5,"control",2200,100,380,480,0
"90","0",6,"control",2223,220,320,540,1
"91","0",7,"multi-motive",1327,340,180,520,1
"92","0",8,"multi-motive",1344,300,240,540,1
"93","0",9,"multi-motive",1106,380,60,440,1
"94","0",10,"control",2155,380,40,420,0
"95","0",11,"control",1387,100,380,480,1
"97","0",13,"multi-motive",1423,380,100,480,1
"98","0",14,"multi-motive",2264,380,40,420,1
"100","0",16,"control",1215,220,320,540,1
"102","0",18,"control",1597,380,60,440,1
"103","0",19,"control",1264,180,340,520,0
"104","0",20,"control",1678,380,100,480,1
"105","0",21,"control",1021,300,240,540,1
"106","0",22,"control",2079,380,100,480,1
"107","0",23,"control",967,20,380,400,1
"108","0",24,"control",2007,60,380,440,0
"109","0",25,"control",1060,180,340,520,1
"110","0",26,"control",1244,360,160,520,1
"111","0",27,"control",1264,320,220,540,0
"113","0",29,"control",1158,120,360,480,0
"114","0",30,"control",1207,360,160,520,0
"115","0",31,"multi-motive",910,100,380,480,1
"116","0",32,"multi-motive",1098,380,60,440,1
"117","0",33,"multi-motive",1243,180,340,520,1
"118","0",34,"control",1402,340,180,520,1
"120","0",36,"control",1543,160,360,520,0
"121","0",37,"multi-motive",1021,220,320,540,1
"122","0",38,"multi-motive",1142,380,40,420,1
"123","0",39,"multi-motive",1003,20,380,400,1
"125","0",41,"multi-motive",1386,60,380,440,1
"127","0",43,"control",1433,240,300,540,1
"128","0",44,"control",1311,120,360,480,1
"129","0",45,"control",1017,40,380,420,0
"130","0",46,"multi-motive",1155,240,300,540,1
"131","0",47,"multi-motive",884,360,120,480,1
"132","0",48,"multi-motive",805,280,280,560,1
"133","0",49,"multi-motive",707,380,20,400,1
"134","0",50,"multi-motive",1236,180,340,520,1
"135","0",51,"multi-motive",969,320,220,540,1
"137","0",53,"multi-motive",1816,40,380,420,1
"138","0",54,"multi-motive",2106,300,240,540,1
"139","0",55,"multi-motive",953,40,380,420,1
"140","0",56,"multi-motive",1446,380,20,400,1
"141","0",57,"multi-motive",1072,280,280,560,1
"142","0",58,"multi-motive",1270,20,380,400,1
"143","0",59,"multi-motive",1082,60,380,440,1
"144","0",60,"multi-motive",869,320,220,540,1
"145","0",61,"multi-motive",904,240,300,540,1
"146","0",62,"multi-motive",1020,340,180,520,1
"147","0",63,"multi-motive",960,220,320,540,1
"148","0",64,"multi-motive",791,160,360,520,1
"149","0",65,"multi-motive",1269,360,120,480,1
"150","0",66,"multi-motive",832,120,360,480,1
"151","0",67,"multi-motive",2110,360,160,520,1
"152","0",68,"multi-motive",1079,360,160,520,1
"153","0",69,"multi-motive",856,380,100,480,1
"154","0",70,"control",1855,280,280,560,1
"155","0",71,"control",1020,360,120,480,0
"156","0",72,"control",1149,60,380,440,1
"157","0",73,"control",989,280,280,560,0
"158","0",74,"control",1090,300,240,540,0
"159","0",75,"control",1417,160,360,520,1
"160","0",76,"multi-motive",1450,120,360,480,1
"161","0",77,"multi-motive",842,100,380,480,1
"162","0",78,"multi-motive",1764,160,360,520,1
"163","0",79,"control",1105,40,380,420,1
"164","0",80,"control",1098,20,380,400,0
"165","0",81,"control",1256,360,120,480,0
"166","0",82,"control",835,380,40,420,1
"167","0",83,"control",883,380,60,440,0
"168","0",84,"control",834,340,180,520,1
"421","1",1,"reciprocity",1149,240,300,540,0
"422","1",2,"reciprocity",1422,160,360,520,1
"423","1",3,"reciprocity",1387,100,380,480,1
"424","1",4,"empathy",1875,100,380,480,0
"425","1",5,"empathy",2665,380,60,440,1
"426","1",6,"empathy",1413,160,360,520,1
"427","1",7,"empathy",2510,120,360,480,0
"428","1",8,"empathy",1386,380,20,400,1
"429","1",9,"empathy",1747,280,280,560,1
