;mean;std;2.5q;25q;50q;75q;97.5q;mc err
a(control);2.264439593;0.098215549;2.078989377;2.196599482;2.261828127;2.331356269;2.46260101;0.003163187
a(empathy);2.157899796;0.097273131;1.964575572;2.091622613;2.157334908;2.224044537;2.346432403;0.002840026
a(multi-motive);2.300644661;0.098866228;2.10712849;2.233311482;2.301291278;2.369500061;2.494431497;0.003369854
a(reciprocity);2.160004972;0.092915924;1.977680599;2.096727304;2.15970112;2.221665032;2.348062711;0.002890588
a_std;0.471670806;0.04730277;0.387396166;0.438218444;0.469332081;0.501137397;0.571687618;0.00181464
a_subj(control).0;1.744136634;0.140449403;1.491981245;1.646586966;1.739184028;1.835154393;2.039464733;0.003138211
a_subj(control).1;1.70605007;0.152100071;1.42198324;1.60050395;1.697925568;1.805250466;2.023324842;0.003588817
a_subj(control).2;2.020977368;0.161096878;1.721634614;1.909078237;2.012877377;2.12235049;2.36280464;0.003501167
a_subj(control).3;2.293052086;0.191718243;1.946433651;2.158766575;2.286801354;2.416471187;2.692757273;0.00414543
a_subj(control).4;2.584762094;0.292042823;2.083989031;2.376849524;2.562470276;2.76548073;3.224396937;0.007818016
a_subj(control).5;2.699407284;0.28195289;2.199626125;2.50528512;2.680497914;2.874350429;3.31224402;0.006163854
a_subj(control).6;1.98267563;0.173643352;1.676772817;1.862091594;1.973127406;2.092207471;2.343380566;0.004202488
a_subj(control).7;1.721133455;0.154338124;1.438955935;1.615222822;1.712677695;1.820144105;2.041221511;0.003734685
a_subj(control).8;1.953449089;0.176851497;1.641105754;1.829483681;1.945612578;2.070424727;2.313131152;0.004185006
a_subj(control).9;2.507758643;0.228319347;2.094382202;2.351077386;2.492834881;2.649602706;2.993954215;0.004505129
a_subj(control).10;2.345212566;0.234353985;1.941603685;2.179482003;2.328433762;2.488902213;2.865125684;0.005406773
a_subj(control).11;1.892663637;0.171879069;1.573252572;1.773754345;1.886303921;2.007417327;2.240216598;0.005075079
a_subj(control).12;2.438953555;0.191926797;2.09101283;2.304650061;2.427829754;2.564016722;2.839049372;0.004094243
a_subj(control).13;3.211764545;0.389066653;2.558635219;2.935335533;3.168115795;3.443950766;4.084705326;0.011221028
a_subj(control).14;2.893663056;0.311867596;2.353817706;2.667435083;2.868314136;3.092204289;3.57193582;0.007474865
a_subj(control).15;2.246490009;0.221015985;1.843025884;2.089319725;2.238687367;2.386944711;2.704462983;0.005276569
a_subj(control).16;2.206679259;0.196495895;1.862417336;2.066288211;2.195213639;2.331851058;2.632309683;0.004551402
a_subj(control).17;1.451503641;0.139912531;1.199194837;1.352924778;1.44149529;1.54413104;1.741986989;0.003094824
a_subj(control).18;2.803804109;0.269114476;2.327886243;2.61382975;2.782199936;2.97812121;3.377659767;0.006327858
a_subj(control).19;2.719411995;0.221864871;2.316390564;2.564960317;2.707838239;2.864020742;3.186897444;0.005225955
a_subj(control).20;2.557306572;0.205615386;2.186260333;2.409789035;2.54806786;2.691458992;2.989147874;0.004164445
a_subj(control).21;2.17853086;0.216682705;1.791961866;2.025614244;2.16526069;2.319161907;2.646486018;0.005102754
a_subj(control).22;2.06325756;0.182383708;1.721459966;1.940071934;2.057445108;2.186488254;2.431754502;0.006085661
a_subj(control).23;2.194031686;0.273968688;1.713351178;1.998920166;2.180061426;2.363986998;2.777986658;0.007014242
a_subj(control).24;2.456358918;0.186122921;2.11938086;2.327755562;2.445014785;2.577085824;2.858342611;0.004243333
a_subj(control).25;1.972637788;0.150774295;1.69852435;1.867812918;1.963700514;2.073002332;2.286454538;0.00349164
a_subj(control).26;1.66237374;0.135254116;1.405923603;1.566352088;1.662131791;1.750494261;1.936362014;0.002858933
a_subj(control).27;1.878029656;0.181542263;1.55247625;1.74848165;1.8704378;1.993320252;2.267621492;0.004383947
a_subj(control).28;2.636912311;0.273983263;2.150219064;2.44379437;2.624635884;2.807731055;3.237636538;0.006800756
a_subj(control).29;1.863373891;0.337871453;1.278306494;1.620300326;1.842024976;2.066319451;2.606808192;0.009894765
a_subj(control).30;2.691000787;0.26949674;2.199589414;2.500043993;2.678305509;2.859046967;3.268454791;0.006653849
a_subj(control).31;2.727157254;0.242533276;2.290459182;2.559612982;2.712917583;2.886353553;3.254332894;0.00541131
a_subj(control).32;2.796829245;0.238759911;2.367888731;2.629538194;2.781796181;2.953735722;3.290672417;0.004865954
a_subj(empathy).0;1.462328908;0.323709054;0.902911292;1.227566776;1.434079491;1.664902199;2.146153062;0.00754219
a_subj(empathy).1;2.214855078;0.168241184;1.911118608;2.097184608;2.208249392;2.325905522;2.566409266;0.003194397
a_subj(empathy).2;1.79725849;0.153389812;1.521736844;1.687337974;1.787997649;1.897245607;2.120340569;0.003808679
a_subj(empathy).3;2.112993587;0.175787521;1.793038979;1.98840511;2.106363865;2.223443449;2.491538171;0.003903423
a_subj(empathy).4;2.111789949;0.295061103;1.618712456;1.899545339;2.086464385;2.292579862;2.780603089;0.007509361
a_subj(empathy).5;1.994279189;0.213136968;1.603946405;1.843333259;1.982946396;2.128930746;2.449194123;0.005048761
a_subj(empathy).6;2.036940625;0.189680914;1.701143965;1.903064354;2.026941576;2.161338433;2.431934641;0.004655513
a_subj(empathy).7;2.184379283;0.187533959;1.841211144;2.053197396;2.17455744;2.308777977;2.570789897;0.003875341
a_subj(empathy).8;1.668587518;0.143593352;1.412498636;1.567410476;1.660285668;1.763921844;1.969353494;0.002852565
a_subj(empathy).9;2.954216969;0.280132454;2.453946765;2.754924587;2.942915836;3.131229143;3.546004154;0.006495089
a_subj(empathy).10;2.696517282;0.246584355;2.252171049;2.52687071;2.686458048;2.848385008;3.226871788;0.005351373
a_subj(empathy).11;1.614892749;0.148014661;1.34276519;1.51195921;1.608281292;1.710175145;1.923757863;0.004094445
a_subj(empathy).12;2.408994185;0.199114297;2.044745097;2.273358987;2.400568822;2.535935274;2.821133615;0.004291515
a_subj(empathy).13;2.217853905;0.341603258;1.642776835;1.973307611;2.183128911;2.428769791;2.971931012;0.008191921
a_subj(empathy).14;2.149475837;0.300190365;1.653313734;1.933646452;2.121090147;2.328859631;2.84302624;0.007485485
a_subj(empathy).15;1.686088136;0.167115269;1.383242329;1.568978447;1.678604839;1.792778842;2.040048785;0.004400168
a_subj(empathy).16;2.452863061;0.205924159;2.078288746;2.302980566;2.440621423;2.589496533;2.889300504;0.004160289
a_subj(empathy).17;1.677505359;0.156116184;1.39527562;1.571424431;1.668924153;1.775731649;2.011392421;0.003693992
a_subj(empathy).18;2.695620072;0.231173358;2.278861748;2.534377147;2.680518833;2.840917282;3.180599322;0.004576398
a_subj(empathy).19;2.044809935;0.172464281;1.726735275;1.926457883;2.036323023;2.151608592;2.417009661;0.004284462
a_subj(empathy).20;2.255348598;0.170012317;1.947410339;2.137092556;2.248232666;2.364142021;2.611645575;0.003746938
a_subj(empathy).21;2.012807491;0.214267797;1.625603871;1.863500945;2.002462947;2.14902337;2.461902321;0.003836214
a_subj(empathy).22;3.08245025;0.41621403;2.36668682;2.783524752;3.048846496;3.340884477;3.997534998;0.015453115
a_subj(empathy).23;1.65181914;0.187624905;1.320782753;1.519010738;1.638783173;1.770895898;2.050636621;0.004272374
a_subj(empathy).24;2.629527103;0.271443839;2.154817588;2.440890289;2.612737597;2.799195897;3.195768934;0.006490678
a_subj(empathy).25;2.425632999;0.233638089;2.010983622;2.26090692;2.413226731;2.571563334;2.917715977;0.005598414
a_subj(empathy).26;2.301291775;0.224468009;1.905280176;2.148225261;2.281860369;2.438653874;2.803436249;0.005609607
a_subj(empathy).27;2.296537255;0.244599911;1.860552656;2.123775252;2.282714537;2.455629268;2.813147307;0.005929166
a_subj(empathy).28;2.440148203;0.254890195;1.994591531;2.256446572;2.421740781;2.600513237;3.007253577;0.005894328
a_subj(empathy).29;1.739406953;0.184522443;1.415708315;1.610397876;1.726136847;1.850924013;2.137072349;0.004375091
a_subj(empathy).30;1.855132533;0.277825573;1.386636143;1.659480984;1.828638969;2.026261684;2.473136938;0.007106606
a_subj(empathy).31;2.289371962;0.222396194;1.907704024;2.132882384;2.270335831;2.433023161;2.770227541;0.004777252
a_subj(empathy).32;1.986080156;0.187201296;1.649649723;1.852333145;1.975753193;2.107290847;2.379274613;0.003922495
a_subj(multi-motive).0;2.498432025;0.368258963;1.859359844;2.234891369;2.47987842;2.729895861;3.269714802;0.010994942
a_subj(multi-motive).1;1.787351516;0.219487482;1.397839456;1.629835359;1.775380536;1.92956713;2.25581161;0.005162078
a_subj(multi-motive).2;2.026724482;0.168814909;1.712459257;1.90861299;2.018853955;2.13407792;2.383736289;0.004220673
a_subj(multi-motive).3;2.349192575;0.219310966;1.959857175;2.194698691;2.3338458;2.488508616;2.830799588;0.004688402
a_subj(multi-motive).4;2.993912476;0.433534376;2.263396913;2.683502618;2.96035828;3.259541709;3.937932596;0.013653908
a_subj(multi-motive).5;3.114310508;0.327718994;2.535406643;2.876502238;3.095032998;3.32120144;3.779141584;0.009061908
a_subj(multi-motive).6;1.93872491;0.167148294;1.638815786;1.818247975;1.928908145;2.047598644;2.291365017;0.003948068
a_subj(multi-motive).7;2.011097184;0.177026318;1.690888154;1.886417349;2.002794279;2.127601873;2.389249034;0.004366522
a_subj(multi-motive).8;1.959292098;0.173800599;1.632944942;1.840914301;1.951103112;2.074016054;2.318286187;0.003858526
a_subj(multi-motive).9;2.55079666;0.2505148;2.109475622;2.373400348;2.536222714;2.717096429;3.077442536;0.005963483
a_subj(multi-motive).10;2.273267282;0.24257896;1.85064234;2.106328242;2.259989436;2.419498553;2.802482853;0.006178153
a_subj(multi-motive).11;2.052842672;0.181724565;1.723662362;1.926463238;2.043710038;2.167818156;2.43849754;0.004706505
a_subj(multi-motive).12;2.249773269;0.173952535;1.934874292;2.12940125;2.241062067;2.361030261;2.620694357;0.004105253
a_subj(multi-motive).13;3.280674346;0.431297706;2.53082916;2.976164588;3.25374087;3.562664149;4.179035741;0.012409897
a_subj(multi-motive).14;3.086834422;0.422902264;2.351530749;2.793642449;3.058695487;3.349023398;3.994330553;0.013186058
a_subj(multi-motive).15;2.169260784;0.205293811;1.797372447;2.030003296;2.157184287;2.301148095;2.600349181;0.004388934
a_subj(multi-motive).16;2.241351185;0.293554234;1.737640561;2.0355827;2.214524086;2.425005801;2.874560642;0.007569202
a_subj(multi-motive).17;1.197324832;0.146553128;0.927358709;1.097445712;1.191606198;1.29162418;1.511841771;0.003287313
a_subj(multi-motive).18;2.219457414;0.199715178;1.858920693;2.081185627;2.208650219;2.345834335;2.641156153;0.004373481
a_subj(multi-motive).19;2.765143432;0.243761209;2.331038085;2.596250751;2.753433802;2.925670635;3.272464684;0.005222633
a_subj(multi-motive).20;2.184101123;0.16396159;1.881431359;2.06903822;2.177088726;2.292403389;2.539483931;0.003264387
a_subj(multi-motive).21;2.133587485;0.211991481;1.752290319;1.98286411;2.118607759;2.26874604;2.581028802;0.005015378
a_subj(multi-motive).22;2.283133783;0.219645125;1.87416667;2.129222375;2.27462941;2.427405246;2.73672711;0.00646128
a_subj(multi-motive).23;1.667067717;0.172997217;1.354378398;1.548676552;1.659641632;1.778278378;2.037967706;0.004578183
a_subj(multi-motive).24;2.470767386;0.205701616;2.09825767;2.328965931;2.453901202;2.606703014;2.908898824;0.004845263
a_subj(multi-motive).25;2.377143105;0.195547076;2.03186999;2.23791632;2.365204389;2.504637967;2.781328894;0.003563747
a_subj(multi-motive).26;1.995064401;0.177633526;1.67744406;1.870978812;1.985094233;2.111955576;2.375459827;0.004042891
a_subj(multi-motive).27;2.03927822;0.340931455;1.453092771;1.797949875;2.009874493;2.247585883;2.754715408;0.008870141
a_subj(multi-motive).28;2.554579509;0.314139721;2.002794439;2.333938388;2.533992591;2.752265846;3.23300548;0.00905728
a_subj(multi-motive).29;2.24563047;0.336450465;1.658426251;2.002770792;2.222848319;2.460367983;2.954057643;0.008895305
a_subj(multi-motive).30;2.335800863;0.301752132;1.802797454;2.121260503;2.313181591;2.531892741;2.985494076;0.007100723
a_subj(multi-motive).31;3.009907876;0.285823576;2.498872689;2.807733374;2.994132851;3.187328176;3.622688845;0.007045903
a_subj(multi-motive).32;2.622814005;0.218566271;2.233636006;2.468248787;2.612245717;2.7644283;3.099211067;0.004925919
a_subj(reciprocity).0;1.695623815;0.293237732;1.185115913;1.48676077;1.672219298;1.871793994;2.333495035;0.007659119
a_subj(reciprocity).1;2.286304435;0.186375589;1.952695042;2.150855458;2.278913823;2.409445382;2.672947525;0.003821635
a_subj(reciprocity).2;2.19188418;0.18858106;1.855223411;2.058765351;2.184918681;2.313254197;2.582959452;0.004318927
a_subj(reciprocity).3;2.21357797;0.194174105;1.852844351;2.078540507;2.204823853;2.341710435;2.613745704;0.00426227
a_subj(reciprocity).4;2.200710753;0.285195602;1.717486661;2.000959551;2.177326717;2.373334559;2.844475211;0.007204822
a_subj(reciprocity).5;1.925768262;0.212020111;1.556344372;1.777223192;1.910445812;2.058261791;2.379047251;0.005029864
a_subj(reciprocity).6;1.920808483;0.185970701;1.590438462;1.793920849;1.906280843;2.036613409;2.319576773;0.004159752
a_subj(reciprocity).7;1.930904052;0.160559489;1.640053637;1.816259874;1.923016843;2.036996239;2.267378195;0.004086926
a_subj(reciprocity).8;1.842500612;0.159158992;1.545524827;1.73377106;1.832701241;1.945147228;2.185368311;0.003375709
a_subj(reciprocity).9;2.631263787;0.263192496;2.173079917;2.451068753;2.614250153;2.794976287;3.223315126;0.006119873
a_subj(reciprocity).10;2.502945656;0.287699717;1.99104614;2.300933508;2.482453891;2.694742475;3.093122313;0.007010284
a_subj(reciprocity).11;1.698308437;0.160400931;1.410040233;1.584830445;1.686312473;1.802325814;2.032568255;0.004340573
a_subj(reciprocity).12;2.245044182;0.176224625;1.934651127;2.123070237;2.232668179;2.356095694;2.627778567;0.003417379
a_subj(reciprocity).13;1.688259738;0.28569932;1.220574829;1.478488714;1.660264264;1.865412318;2.328405078;0.007587155
a_subj(reciprocity).14;2.504367848;0.189894633;2.154202609;2.371012564;2.496324957;2.623838768;2.915676269;0.003659143
a_subj(reciprocity).15;1.79269606;0.195915121;1.446801346;1.653054898;1.785174834;1.919970291;2.203711677;0.004645328
a_subj(reciprocity).16;2.648067996;0.33732731;2.075043314;2.405753713;2.62023667;2.862070861;3.389628974;0.009281701
a_subj(reciprocity).17;1.353060146;0.141149855;1.097048928;1.254909037;1.345276023;1.443378975;1.646105894;0.003476308
a_subj(reciprocity).18;2.239883683;0.186707449;1.907275474;2.107209656;2.232895785;2.359960641;2.635689853;0.004147743
a_subj(reciprocity).19;2.335982121;0.186771895;1.998809462;2.206179873;2.329271072;2.449630977;2.735896761;0.005166707
a_subj(reciprocity).20;2.079494086;0.156080264;1.78722313;1.969083476;2.074572587;2.184418247;2.39954169;0.003560004
a_subj(reciprocity).21;2.049846887;0.183116599;1.723772156;1.920643987;2.0401445;2.166636935;2.429749303;0.003989539
a_subj(reciprocity).22;2.697883651;0.294195336;2.141423155;2.490869805;2.684643487;2.888409003;3.29343277;0.010396221
a_subj(reciprocity).23;1.589518431;0.147902692;1.322301138;1.49066204;1.580700162;1.685953166;1.898655304;0.003537421
a_subj(reciprocity).24;2.645669331;0.243200522;2.218063148;2.480961646;2.631111641;2.793061071;3.175595425;0.005794686
a_subj(reciprocity).25;2.466824772;0.218954786;2.078414317;2.310913177;2.452562946;2.606146353;2.930272341;0.004845956
a_subj(reciprocity).26;2.171888948;0.161045912;1.876897322;2.059035922;2.164421747;2.277167312;2.505497466;0.003520079
a_subj(reciprocity).27;2.076546788;0.193099845;1.736976463;1.942689689;2.065689473;2.192321381;2.477695974;0.004591992
a_subj(reciprocity).28;2.75027402;0.296316867;2.242852627;2.538436335;2.725973824;2.936338916;3.393482383;0.007331174
a_subj(reciprocity).29;2.035208462;0.229798193;1.633417627;1.876270426;2.021153482;2.180399573;2.518322377;0.00548109
a_subj(reciprocity).30;1.734309352;0.154536458;1.454035798;1.627222995;1.726673238;1.832415771;2.06525986;0.00359447
a_subj(reciprocity).31;2.331985523;0.217676557;1.940716305;2.181229959;2.322661641;2.470931644;2.799789712;0.004864687
a_subj(reciprocity).32;2.38793567;0.202365913;2.020383609;2.243431393;2.376993526;2.516597363;2.822908686;0.003970902
t;0.930487085;0.037554375;0.857429711;0.905326135;0.929829046;0.954831829;1.005968524;0.001244262
t_std;0.196590474;0.028771404;0.149866092;0.175799107;0.193678128;0.213583884;0.263181046;0.000694319
t_subj.0;0.727406932;0.036110038;0.652811949;0.705258415;0.728141855;0.751549609;0.796181172;0.001161326
t_subj.1;1.062100201;0.035475817;0.986862128;1.039999987;1.064581899;1.086735148;1.125479926;0.001304956
t_subj.2;1.028093034;0.037223631;0.951956039;1.003948185;1.029425375;1.053313553;1.095996842;0.001363993
t_subj.3;0.89352412;0.044972487;0.800707614;0.86485464;0.894747058;0.924711255;0.97514255;0.001308528
t_subj.4;0.690692841;0.040699121;0.605123488;0.664204739;0.69301466;0.718609118;0.764899552;0.001385843
t_subj.5;0.827408899;0.041404833;0.741922573;0.800646805;0.828864077;0.855606498;0.906559413;0.001420948
t_subj.6;1.05711201;0.032583506;0.990776454;1.035369284;1.058452674;1.080180096;1.117171225;0.001152725
t_subj.7;1.402345344;0.039158384;1.321739416;1.376257578;1.405291418;1.430714182;1.472932289;0.001470828
t_subj.8;0.865169627;0.036335458;0.79083777;0.841810856;0.865352142;0.890710309;0.933307214;0.0010904
t_subj.9;0.67302123;0.046116293;0.582159659;0.642547753;0.673968263;0.703387415;0.76334295;0.001451623
t_subj.10;0.936345274;0.040732989;0.852247163;0.909221018;0.938935789;0.964558867;1.011090632;0.001507829
