"","subjectID","control","empathy","emprecip","reciprocity"
"2","1",21,37,38,38
"6","2",28,28,36,25
"8","3",19,18,14,13
"9","4",24,21,28,26
"10","5",36,37,38,37
"11","6",33,32,33,32
"12","7",22,26,24,26
"13","8",21,23,23,17
"14","9",23,19,22,23
"15","10",30,31,29,33
"16","11",32,27,33,36
"17","12",16,20,19,16
"20","13",19,20,20,19
"21","14",38,38,38,38
"22","15",36,38,38,18
"23","16",33,32,29,34
"24","17",28,27,36,37
"25","18",14,24,26,23
"26","19",32,30,27,29
"27","20",21,24,20,21
"28","21",19,18,20,18
"30","22",31,33,31,31
"31","23",15,34,31,32
"32","24",36,35,31,29
"33","25",19,34,27,30
"34","26",20,34,27,28
"35","27",25,32,31,21
"36","28",6,36,38,31
"37","29",33,34,37,33
"38","30",37,34,38,36
"39","31",33,36,37,30
"40","32",23,31,30,30
"41","33",26,23,22,26
